ID,country,continent,sub_region,
1,Aruba,Americas,Caribbean,
2,Afghanistan,Asia,Southern Asia,
3,Albania,Europe,Southern Europe,
4,Algeria,Africa,Northern Africa,
5,American Samoa,Oceania,Polynesia,
6,Andorra,Europe,Southern Europe,
7,Angola,Africa,Middle Africa,
8,Anguilla,Americas,Caribbean,
9,Antigua and Barbuda,Americas,Caribbean,
10,Argentina,Americas,South America,
11,Armenia,Asia,Western Asia,
12,Aruba,Americas,Caribbean,
13,Australia,Oceania,Australia and New Zealand,
14,Austria,Europe,Western Europe,
15,Azerbaijan,Asia,Western Asia,
16,Bahamas, The,Americas,Caribbean,
17,Bahrain,Asia,Western Asia,
18,Bangladesh,Asia,Southern Asia,
19,Barbados,Americas,Caribbean,
20,Belarus,Europe,Eastern Europe,
21,Belgium,Europe,Western Europe,
22,Belize,Americas,Central America,
23,Benin,Africa,Western Africa,
24,Bermuda,Americas,Northern America,
25,Bhutan,Asia,Southern Asia,
26,Bolivia,Americas,South America,
27,Bonaire, Sint Eustatius and Saba,Americas,Caribbean
28,Bosnia and Herzegovina,Europe,Southern Europe,
29,Botswana,Africa,Southern Africa,
30,Brazil,Americas,South America,
31,Brunei Darussalam,Asia,South-Eastern Asia,
32,Bulgaria,Europe,Eastern Europe,
33,Burkina Faso,Africa,Western Africa,
34,Burundi,Africa,Eastern Africa,
35,Cambodia,Asia,South-Eastern Asia,
36,Cameroon,Africa,Middle Africa,
37,Canada,Americas,Northern America,
38,Cabo Verde,Africa,Western Africa,
39,Cayman Islands,Americas,Caribbean,
40,Central African Republic,Africa,Middle Africa,
41,Chad,Africa,Middle Africa,
42,Chile,Americas,South America,
43,China,Asia,Eastern Asia,
44,Colombia,Americas,South America,
45,Comoros,Africa,Eastern Africa,
46,Congo,Africa,Middle Africa,
47,Congo (Democratic Republic of the),Africa,Middle Africa,
48,Cook Islands,Oceania,Polynesia,
49,Costa Rica,Americas,Central America,
50,Cote d'Ivoire,Africa,Western Africa,
51,Croatia,Europe,Southern Europe,
52,Cuba,Americas,Caribbean,
53,Cura�ao,Americas,Caribbean,
54,Cyprus,Asia,Western Asia,
55,Czech Republic,Europe,Eastern Europe,
56,Denmark,Europe,Northern Europe,
57,Djibouti,Africa,Eastern Africa,
58,Dominica,Americas,Caribbean,
59,Dominican Republic,Americas,Caribbean,
60,Ecuador,Americas,South America,
61,Egypt,Africa,Northern Africa,
62,El Salvador,Americas,Central America,
63,Equatorial Guinea,Africa,Middle Africa,
64,Eritrea,Africa,Eastern Africa,
65,Estonia,Europe,Northern Europe,
66,Ethiopia,Africa,Eastern Africa,
67,Falkland Islands (Malvinas),Americas,South America,
68,Faroe Islands,Europe,Northern Europe,
69,Fiji,Oceania,Melanesia,
70,Finland,Europe,Northern Europe,
71,France,Europe,Western Europe,
72,French Guiana,Americas,South America,
73,French Polynesia,Oceania,Polynesia,
74,Gabon,Africa,Middle Africa,
75,Gambia,Africa,Western Africa,
76,Georgia,Asia,Western Asia,
77,Germany,Europe,Western Europe,
78,Ghana,Africa,Western Africa,
79,Gibraltar,Europe,Southern Europe,
80,Greece,Europe,Southern Europe,
81,Greenland,Americas,Northern America,
82,Grenada,Americas,Caribbean,
83,Guadeloupe,Americas,Caribbean,
84,Guam,Oceania,Micronesia,
85,Guatemala,Americas,Central America,
86,Guernsey,Europe,Northern Europe,
87,Guinea,Africa,Western Africa,
88,Guinea-Bissau,Africa,Western Africa,
89,Guyana,Americas,South America,
90,Haiti,Americas,Caribbean,
91,Holy See,Europe,Southern Europe,
92,Honduras,Americas,Central America,
93,Hong Kong,Asia,Eastern Asia,
94,Hungary,Europe,Eastern Europe,
95,Iceland,Europe,Northern Europe,
96,India,Asia,Southern Asia,
97,Indonesia,Asia,South-Eastern Asia,
98,Iran (Islamic Republic of),Asia,Southern Asia,
99,Iraq,Asia,Western Asia,
100,Ireland,Europe,Northern Europe,
101,Isle of Man,Europe,Northern Europe,
102,Israel,Asia,Western Asia,
103,Italy,Europe,Southern Europe,
104,Jamaica,Americas,Caribbean,
105,Japan,Asia,Eastern Asia,
106,Jersey,Europe,Northern Europe,
107,Jordan,Asia,Western Asia,
108,Kazakhstan,Asia,Central Asia,
109,Kenya,Africa,Eastern Africa,
110,Kiribati,Oceania,Micronesia,
111,Korea (Democratic People's Republic of),Asia,Eastern Asia,
112,Korea (Republic of),Asia,Eastern Asia,
113,Kuwait,Asia,Western Asia,
114,Kyrgyzstan,Asia,Central Asia,
115,Lao People's Democratic Republic,Asia,South-Eastern Asia,
116,Latvia,Europe,Northern Europe,
117,Lebanon,Asia,Western Asia,
118,Lesotho,Africa,Southern Africa,
119,Liberia,Africa,Western Africa,
120,Libya,Africa,Northern Africa,
121,Liechtenstein,Europe,Western Europe,
122,Lithuania,Europe,Northern Europe,
123,Luxembourg,Europe,Western Europe,
124,Macao,Asia,Eastern Asia,
125,Macedonia (the former Yugoslav Republic of),Europe,Southern Europe,
126,Madagascar,Africa,Eastern Africa,
127,Malawi,Africa,Eastern Africa,
128,Malaysia,Asia,South-Eastern Asia,
129,Maldives,Asia,Southern Asia,
130,Mali,Africa,Western Africa,
131,Malta,Europe,Southern Europe,
132,Marshall Islands,Oceania,Micronesia,
133,Martinique,Americas,Caribbean,
134,Mauritania,Africa,Western Africa,
135,Mauritius,Africa,Eastern Africa,
136,Mayotte,Africa,Eastern Africa,
137,Mexico,Americas,Central America,
138,Micronesia (Federated States of),Oceania,Micronesia,
139,Moldova (Republic of),Europe,Eastern Europe,
140,Monaco,Europe,Western Europe,
141,Mongolia,Asia,Eastern Asia,
142,Montenegro,Europe,Southern Europe,
143,Montserrat,Americas,Caribbean,
144,Morocco,Africa,Northern Africa,
145,Mozambique,Africa,Eastern Africa,
146,Myanmar,Asia,South-Eastern Asia,
147,Namibia,Africa,Southern Africa,
148,Nauru,Oceania,Micronesia,
149,Nepal,Asia,Southern Asia,
150,Netherlands,Europe,Western Europe,
151,New Caledonia,Oceania,Melanesia,
152,New Zealand,Oceania,Australia and New Zealand,
153,Nicaragua,Americas,Central America,
154,Niger,Africa,Western Africa,
155,Nigeria,Africa,Western Africa,
156,Niue,Oceania,Polynesia,
157,Norfolk Island,Oceania,Australia and New Zealand,
158,Northern Mariana Islands,Oceania,Micronesia,
159,Norway,Europe,Northern Europe,
160,Oman,Asia,Western Asia,
161,Pakistan,Asia,Southern Asia,
162,Palau,Oceania,Micronesia,
163,Palestine, State of,Asia,Western Asia
164,Panama,Americas,Central America,
165,Papua New Guinea,Oceania,Melanesia,
166,Paraguay,Americas,South America,
167,Peru,Americas,South America,
168,Philippines,Asia,South-Eastern Asia,
169,Pitcairn,Oceania,Polynesia,
170,Poland,Europe,Eastern Europe,
171,Portugal,Europe,Southern Europe,
172,Puerto Rico,Americas,Caribbean,
173,Qatar,Asia,Western Asia,
174,R�union,Africa,Eastern Africa,
175,Romania,Europe,Eastern Europe,
176,Russian Federation,Europe,Eastern Europe,
177,Rwanda,Africa,Eastern Africa,
178,Samoa,Oceania,Polynesia,
179,San Marino,Europe,Southern Europe,
180,Sao Tome and Principe,Africa,Middle Africa,
181,Saudi Arabia,Asia,Western Asia,
182,Senegal,Africa,Western Africa,
183,Serbia,Europe,Southern Europe,
184,Seychelles,Africa,Eastern Africa,
185,Sierra Leone,Africa,Western Africa,
186,Singapore,Asia,South-Eastern Asia,
187,Slovakia,Europe,Eastern Europe,
188,Slovenia,Europe,Southern Europe,
189,Solomon Islands,Oceania,Melanesia,
190,Somalia,Africa,Eastern Africa,
191,South Africa,Africa,Southern Africa,
192,South Sudan,Africa,Eastern Africa,
193,Spain,Europe,Southern Europe,
194,Sri Lanka,Asia,Southern Asia,
195,Sudan,Africa,Northern Africa,
196,Suriname,Americas,South America,
197,Svalbard and Jan Mayen,Europe,Northern Europe,
198,Swaziland,Africa,Southern Africa,
199,Sweden,Europe,Northern Europe,
200,Switzerland,Europe,Western Europe,
201,Syrian Arab Republic,Asia,Western Asia,
202,Taiwan, Province of China,Asia,Eastern Asia
203,Tajikistan,Asia,Central Asia,
204,Tanzania, United Republic of,Africa,Eastern Africa
205,Thailand,Asia,South-Eastern Asia,
206,Timor-Leste,Asia,South-Eastern Asia,
207,Togo,Africa,Western Africa,
208,Tokelau,Oceania,Polynesia,
209,Tonga,Oceania,Polynesia,
210,Trinidad and Tobago,Americas,Caribbean,
211,Tunisia,Africa,Northern Africa,
212,Turkey,Asia,Western Asia,
213,Turkmenistan,Asia,Central Asia,
214,Turks and Caicos Islands,Americas,Caribbean,
215,Tuvalu,Oceania,Polynesia,
216,Uganda,Africa,Eastern Africa,
217,Ukraine,Europe,Eastern Europe,
218,United Arab Emirates,Asia,Western Asia,
219,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,
220,United States of America,Americas,Northern America,
221,Uruguay,Americas,South America,
222,Uzbekistan,Asia,Central Asia,
223,Vanuatu,Oceania,Melanesia,
224,Venezuela, RB,Americas,South America,
225,Viet Nam,Asia,South-Eastern Asia,
226,Virgin Islands (British),Americas,Caribbean,
227,Virgin Islands (U.S.),Americas,Caribbean,
228,Wallis and Futuna,Oceania,Polynesia,
229,Western Sahara,Africa,Northern Africa,
230,Yemen,Asia,Western Asia,
231,Zambia,Africa,Eastern Africa,
232,Zimbabwe,Africa,Eastern Africa,
